model,year,price,transmission,fuelType,Make
 A1,2017,12500,2,Petrol,audi
 A6,2016,16500,1,Diesel,audi
 A1,2016,11000,2,Petrol,audi
 A4,2017,16800,1,Diesel,audi
 A3,2019,17300,2,Petrol,audi
 A1,2016,13900,1,Petrol,audi
 A6,2016,13250,1,Diesel,audi
 A4,2016,11750,2,Diesel,audi
 A3,2015,10200,2,Petrol,audi
 A1,2016,12000,2,Petrol,audi
 A3,2017,16100,2,Petrol,audi
 Q3,2016,17000,2,Diesel,audi
 A3,2017,16400,2,Petrol,audi
 A6,2015,15400,2,Diesel,audi
 A3,2017,14500,1,Petrol,audi
 Q3,2016,15700,1,Diesel,audi
 A3,2014,13900,1,Petrol,audi
 Q5,2016,19000,1,Diesel,audi
 Q3,2014,17000,2,Petrol,audi
 A5,2017,17300,1,Diesel,audi
 Q5,2016,20200,1,Diesel,audi
 A5,2017,22500,1,Diesel,audi
 A6,2015,17500,1,Diesel,audi
 Q5,2016,20000,1,Diesel,audi
 A4,2017,18500,1,Diesel,audi
 A5,2017,19500,1,Diesel,audi
 A1,2018,15800,2,Petrol,audi
 A4,2018,17200,1,Diesel,audi
 A6,2015,14000,2,Diesel,audi
 A1,2015,9500,1,Diesel,audi
 Q3,2017,16500,2,Petrol,audi
 Q3,2014,15000,1,Diesel,audi
 Q3,2017,16000,1,Petrol,audi
 Q3,2016,16900,1,Diesel,audi
 Q3,2014,12300,1,Diesel,audi
 A1,2017,10800,2,Petrol,audi
 A6,2016,19400,1,Diesel,audi
 A4,2017,16000,2,Diesel,audi
 A3,2017,17100,2,Diesel,audi
 A3,2015,11300,2,Diesel,audi
 Q3,2016,17200,1,Diesel,audi
 Q3,2017,20300,1,Diesel,audi
 A5,2014,13200,1,Diesel,audi
 Q3,2016,15200,1,Petrol,audi
 A3,2019,15700,2,Petrol,audi
 A6,2018,16600,1,Petrol,audi
 A4,2017,14400,1,Diesel,audi
 A5,2017,20200,1,Petrol,audi
 S4,2017,23700,1,Petrol,audi
 A4,2016,12750,2,Diesel,audi
 A6,2015,13000,1,Diesel,audi
 Q3,2016,15900,2,Petrol,audi
 Q3,2016,15000,2,Diesel,audi
 Q5,2015,14700,1,Diesel,audi
 A3,2015,15000,1,Petrol,audi
 A6,2016,16000,1,Diesel,audi
 A1,2014,11000,2,Petrol,audi
 A3,2016,10200,2,Diesel,audi
 A6,2016,18500,2,Diesel,audi
 A1,2013,7000,2,Diesel,audi
 A3,2016,10600,2,Diesel,audi
 A3,2017,16000,2,Diesel,audi
 Q3,2017,15000,2,Diesel,audi
 Q3,2017,14000,2,Petrol,audi
 A3,2018,18950,2,Petrol,audi
 A4,2016,10200,2,Diesel,audi
 A1,2017,11700,2,Petrol,audi
 A3,2013,11500,1,Petrol,audi
 A1,2016,10800,2,Petrol,audi
 A3,2016,12500,2,Diesel,audi
 A6,2016,16600,2,Diesel,audi
 A3,2017,13100,2,Diesel,audi
 A3,2016,8300,2,Diesel,audi
 A3,2019,16000,2,Petrol,audi
 A4,2017,16900,2,Petrol,audi
 Q5,2016,19600,1,Diesel,audi
 Q3,2017,21800,1,Petrol,audi
 A6,2017,16200,2,Diesel,audi
 A5,2017,18700,2,Petrol,audi
 Q3,2016,16100,2,Diesel,audi
 A3,2016,11300,2,Diesel,audi
 A3,2016,14100,2,Petrol,audi
 A6,2016,16600,1,Diesel,audi
 A1,2017,11300,2,Petrol,audi
 Q3,2017,15600,2,Petrol,audi
 A1,2014,10000,2,Petrol,audi
 A1,2016,14500,2,Petrol,audi
 Q3,2017,16100,2,Diesel,audi
 A1,2016,10600,2,Petrol,audi
 A3,2019,25499,4,Petrol,audi
 Q2,2019,25499,4,Diesel,audi
 A6,2016,15500,1,Diesel,audi
 Q3,2015,16200,1,Diesel,audi
 A1,2017,14000,2,Petrol,audi
